semantic_name|display_name|subject|drive_file_id|placeholders|active|notes
ADM_MGT_APPROVAL_REQUEST_TO_MGT|Admin: Management Approval Request|Action Required: {{BOARD_ITEM_TYPE}} Needs Management Approval|1L_q0DvEuv6HxqV5p3JwN2u5NcBZjrFiM|APPROVAL_DEADLINE;BOARD_ITEM_TYPE;MEMBER_NAME;REQUEST_ID;REQUEST_SUMMARY|true|Management notification for items requiring their sign-off
ADM_NEW_APPLICATION_BOARD_TO_BOARD|Admin: New Application Received|New Application: {{APPLICANT_NAME}}|1mBfD1cfDr6s3HclCe_LIx7lDOny1UHIK|APPLICANT_NAME;APPLICATION_DATE;APPLICATION_ID;BOARD_REVIEW_DEADLINE|true|Board notification when a new membership application is submitted
ADM_READY_FOR_FINAL_APPROVAL_TO_MEMBER|Admin: Ready for Final Approval|Your GEA Application is Ready for Final Approval|1FrRKDt6ShhbUyLQdEaTt4PwmfpjBFV4y|APPLICATION_ID;FIRST_NAME;TIMELINE|true|Notifies applicant that final approval stage has been reached
ADM_RSO_ALL_DOCS_APPROVED_TO_BOARD|Admin: All Docs RSO Approved|All Documents Approved: {{APPLICANT_NAME}} — Ready for RSO Application Approval|1jLkFPByLiuTsDxm9O_aGKA1KyKhl9oew|APPLICANT_NAME;APPLICATION_ID;APPROVAL_DATE|true|Notifies board that all required documents for an application have been RSO-approved; RSO will proceed to finalize application approval
ADM_RSO_APPLICATION_APPROVED_TO_BOARD|Admin: RSO Application Approved|{{APPLICANT_NAME}} — RSO Approval Complete|15FfL-TsitOtSG2e1AxJ2Z8im2N19J5z5|APPLICANT_NAME;APPLICATION_ID;APPROVAL_DATE;NEXT_STEPS|true|Notifies board that RSO has approved the application and it is ready for board final approval
ADM_RSO_APPLICATION_DENIED_TO_BOARD|Admin: RSO Application Denied|RSO Denial Recommendation: {{APPLICANT_NAME}}|1Ivt0repAXlU7Sodt_Z4560We55ZK8lGP|APPLICANT_NAME;APPLICATION_ID;DENIAL_MESSAGE;NEXT_STEPS|true|Board notification when RSO recommends denial of application; board can accept or override recommendation
ADM_RSO_DOCUMENT_ISSUE_TO_BOARD|Admin: RSO Document Issue|RSO Document Issue: {{APPLICANT_NAME}} ({{APPLICATION_ID}})|1E87CGiBAe3pqPyPFPlM4iXKOH7OPQQo6|APPLICANT_NAME;APPLICATION_ID;DEADLINE_TO_RESOLVE;ISSUE_DESCRIPTION|true|Board alerted that RSO has flagged a document problem requiring resolution
DOC_DOCUMENT_APPROVED_TO_BOARD|Documents: Document Approved — Board|Document Approval Confirmed: {{MEMBER_NAME}}|1trd6hIp8AvzSk1MLtMsw1MzPziQmnfzf|APPROVED_DATE;APPROVED_BY;DOCUMENT_TYPE;MEMBER_NAME;SUBMISSION_ID|true|Board confirmation that a member's submitted identity document has been approved by RSO and GEA
DOC_DOCUMENT_APPROVED_TO_MEMBER|Documents: Document Approved (Post-Activation)|GEA: Your {{DOCUMENT_TYPE}} Has Been Approved|1ah7lpu3LsvdoltVyuMtp8mr7bK9X7pca|APPROVED_DATE;DOCUMENT_TYPE;FIRST_NAME;PORTAL_URL|true|Member notified that their submitted identity document was approved; post-activation workflow
DOC_DOCUMENT_RECEIVED_TO_BOARD|Documents: Submitted — Board Awareness|Member Document Submitted — For Awareness|1qImP5SK1G3FNGjbJ_OKz6O0yV-cXEc4I|DOCUMENT_TYPE;MEMBER_NAME;SUBMISSION_DATE;SUBMISSION_ID|false|DEPRECATED for application workflow (documents submitted individually) - Use batch confirmation emails instead
DOC_DOCUMENT_RECEIVED_TO_RSO|Documents: Submitted — RSO Review|Action Required: Document Review for {{MEMBER_NAME}}|111HT7od7_6ZrDEArAClk3mAGBCFWoh0V|DOCUMENT_TYPE;MEMBER_NAME;REVIEW_DEADLINE;SUBMISSION_DATE;SUBMISSION_ID|true|RSO notified that a member has submitted an identity document requiring RSO review and approval
DOC_DOCUMENT_REJECTED_TO_BOARD|Documents: Rejected — Board Action|RSO Document Issue: {{MEMBER_NAME}}|1Q3VEk6oDFeUVppi5WdvYJ6q2bQsBywKX|DOCUMENT_TYPE;MEMBER_NAME;REJECTION_DATE;REJECTED_BY;RESUBMISSION_DAYS;RSO_REJECTION_MESSAGE;SUBMISSION_ID;SUGGESTED_DEADLINE|true|Board notification that RSO has rejected a document; board must compose diplomatic rejection message for member
DOC_DOCUMENT_REJECTED_TO_MEMBER|Documents: Document Rejected|Your {{DOCUMENT_TYPE}} Submission Was Not Approved — Action Required|1CXy_8GMw6GPXgGgzsGLxfQV-5OBSaTVd|DOCUMENT_TYPE;FIRST_NAME;PORTAL_URL;REJECTION_REASON;RESUBMIT_DEADLINE|true|Notifies member that a submitted document failed review; resubmission required
DOC_DOCUMENT_REJECTED_TO_MEMBER_WITH_BOARD_MESSAGE|Documents: Document Rejected — Member|GEA: Your {{DOCUMENT_TYPE}} Requires Resubmission|1lNA_WOlh_j9D41ZUlGrQMi_E2MQTz69m|BOARD_REJECTION_MESSAGE;DOCUMENT_TYPE;FIRST_NAME;PORTAL_URL;RESUBMIT_DEADLINE|true|Member notified that their submitted identity document was rejected with detailed feedback; includes board's diplomatic message
DOC_DOCUMENT_REJECTION_SENT_TO_BOARD|Documents: Rejection Sent — Board|Document Rejection Notice Sent: {{MEMBER_NAME}}|1fOn3XvGT0y_GrvPZFfRH-XnomJ0glnWW|BOARD_REJECTION_MESSAGE;DOCUMENT_TYPE;MEMBER_NAME;ORIGINALLY_REJECTED_BY;REJECTION_SENT_DATE;RESUBMIT_DEADLINE;RSO_REJECTION_MESSAGE;SUBMISSION_ID|true|Board confirmation that document rejection has been communicated to member; shows both RSO feedback and board message documented
DOC_DOCUMENT_REPLACED_APPROVED_TO_BOARD|Documents: Document Replacement Approved — Board|Identity Document Replacement Approved: {{MEMBER_NAME}}|10zba7nkFM7as74txMZeZBqqnpcw9raM9|APPROVED_BY;APPROVED_DATE;DOCUMENT_TYPE;MEMBER_NAME;SUBMISSION_ID|true|Board confirmation that a member's replacement identity document has been approved
DOC_DOCUMENT_REPLACED_APPROVED_TO_MEMBER|Documents: Document Replacement Approved — Member|GEA: Identity Document Updated|1UXuSNyBhwOPLqGJZJRHVPl8OOnKndZSK|APPROVED_DATE;DOCUMENT_TYPE;FIRST_NAME;PORTAL_URL|true|Member notified that their replacement identity document has been approved and is now active
DOC_DOCUMENT_REPLACED_RECEIVED_TO_BOARD|Documents: Document Replacement Received — Board|Member Identity Document Replacement Submitted|1chGx4aYNszF89Aa71IEScLnZZf4UoLA6|DOCUMENT_TYPE;MEMBER_NAME;SUBMISSION_DATE;SUBMISSION_ID|true|Board awareness email when a member submits a replacement identity document
DOC_DOCUMENT_REPLACED_RECEIVED_TO_MEMBER|Documents: Document Replacement Received — Member|GEA: Identity Document Replacement Received|1djkiEUFcJq8tJRMrn7HKHTyqTP1tEz5f|DOCUMENT_TYPE;FIRST_NAME;SUBMISSION_DATE;SUBMISSION_ID|true|Member notified that their replacement identity document has been received and is under review
DOC_DOCUMENT_REPLACED_RECEIVED_TO_RSO|Documents: Document Replacement Received — RSO|Action Required: Identity Document Review for {{MEMBER_NAME}}|1avNWq5s4rCsNQuCYVWtl0FqakB3DuTN8|DOCUMENT_TYPE;MEMBER_NAME;REVIEW_DEADLINE;SUBMISSION_DATE;SUBMISSION_ID|true|RSO take-action email to review a member's replacement identity document
DOC_DOCUMENT_REPLACED_REJECTED_TO_BOARD|Documents: Document Replacement Rejected — Board|Identity Document Replacement Rejected: {{MEMBER_NAME}}|1ZCJ7BYn5JA8haRMXBZPMeWJiGkejL_cJ|BOARD_REJECTION_MESSAGE;DOCUMENT_TYPE;REJECTION_DATE;REJECTED_BY;SUBMISSION_ID|true|Board confirmation that a member's replacement identity document has been rejected and member has been notified
DOC_DOCUMENT_REPLACED_REJECTED_TO_MEMBER_WITH_MESSAGE|Documents: Document Replacement Rejected — Member|GEA: Identity Document Resubmission Required|1cfvjGWUY7OuvDPxNyxTglhXr1i6nELaf|BOARD_REJECTION_MESSAGE;DOCUMENT_TYPE;FIRST_NAME;PORTAL_URL;RESUBMIT_DEADLINE|true|Member notified that their replacement identity document was rejected with board feedback and resubmission instructions
DOC_DOCUMENTS_CONFIRMED_TO_MEMBER|Documents: Documents Confirmed|GEA: Your Documents Have Been Confirmed|1hZXMme0pYAOS5iSqRzW4jTT4D2FFJweU|CONFIRMATION_DATE;DOCUMENT_TYPES;FIRST_NAME;NEXT_STEP;NEXT_STEP_DETAILS|true|Confirmation that all submitted documents have been received and validated
DOC_EMPLOYMENT_VERIFICATION_REQUESTED_TO_MEMBER|Documents: Employment Verification Request|GEA Requires Your Employment Verification|18JEjWGrtZ1iGfymKohv49epvBdHQXici|CONTACT_EMAIL;DEADLINE;FIRST_NAME;VERIFICATION_PROCESS|true|Requests employment documentation from member or applicant
DOC_FILE_SUBMISSION_CONFIRMATION_TO_MEMBER|Documents: File Submission Confirmed|GEA: File Received — {{FILE_NAME}}|1befMJG3ojSNB9rIeyhc_xb0ZAJE-rIih|FILE_NAME;FIRST_NAME;PORTAL_URL;REFERENCE_NUMBER;SUBMISSION_DATE|true|Acknowledgment of any file upload to the member portal
DOC_PHOTO_APPROVED_TO_BOARD|Documents: Photo Approved — Board|Photo Approval Confirmed: {{MEMBER_NAME}}|14E_4rEKaCQVrPZWV7_R2y7cCDcZEfkc6|MEMBER_NAME;APPROVED_BY;APPROVED_DATE;SUBMISSION_ID|true|Board confirmation that a member's profile photo has been approved and activated
DOC_PHOTO_APPROVED_TO_MEMBER|Documents: Photo Approved|GEA: Your Member Photo Has Been Approved|1m06IrOib6CGRQCRWrQoBjz4gxCU9dCWK|APPROVED_DATE;CARD_ISSUANCE_DATE;FIRST_NAME;PHOTO_COUNT;PORTAL_URL|true|Notifies member that their profile photo was approved and transferred to Cloud Storage
DOC_PHOTO_APPROVED_TO_MEMBER_POST_ACTIVATION|Documents: Photo Approved (Post-Activation)|GEA: Your Member Photo Has Been Approved|1yHdd1ANJLBGx_fxWrzA9Cb8PRCGdIVSv|FIRST_NAME;APPROVED_DATE;PORTAL_URL|true|Member notified that their profile photo was approved; post-activation workflow (not applicant-related)
DOC_PHOTO_REJECTED_TO_MEMBER|Documents: Photo Rejected|GEA: Your Member Photo Needs Resubmission|1Pq12-QfaP1o5uxS_NXYUeJ2wkkP-0L15|FIRST_NAME;PHOTO_GUIDELINES_URL;PORTAL_URL;REJECTION_REASON;RESUBMIT_DEADLINE|true|Notifies member of photo rejection with guidelines for resubmission
DOC_PHOTO_REJECTED_TO_MEMBER_WITH_BOARD_MESSAGE|Documents: Photo Rejected — Member|GEA: Your Photo Requires Resubmission|1P3nVNyuZA6dFOsDlOWGi9yfRBj3lf9Bw|FIRST_NAME;BOARD_REJECTION_MESSAGE;PORTAL_URL;RESUBMIT_DEADLINE|true|Member notified that their profile photo was rejected with detailed feedback for resubmission; includes board's diplomatic message
DOC_PHOTO_REJECTION_TO_BOARD|Documents: Photo Rejection — Board|Photo Rejection Recorded: {{MEMBER_NAME}}|1LQk76QTYnUNUGPPG9bMUFHkc4e5uGrw1|BOARD_REJECTION_MESSAGE;MEMBER_NAME;REJECTION_DATE;REJECTED_BY;RESUBMIT_DEADLINE;SUBMISSION_ID|true|Board confirmation that a member's photo rejection has been communicated and deadline set
DOC_PHOTO_REPLACED_APPROVED_TO_BOARD|Documents: Photo Replacement Approved — Board|Profile Photo Replacement Approved: {{MEMBER_NAME}}|1TTRs11UIpDiiaqh7XBJENiJVJSjKbIdW|APPROVED_BY;APPROVED_DATE;MEMBER_NAME;SUBMISSION_ID|true|Board confirmation that a member's replacement profile photo has been approved
DOC_PHOTO_REPLACED_APPROVED_TO_MEMBER|Documents: Photo Replacement Approved — Member|GEA: Profile Photo Updated|1m9_NX-QBibFM1qlaJsKIMPiP6729IWmm|FIRST_NAME;APPROVED_DATE;PORTAL_URL|true|Member notified that their replacement profile photo has been approved and is now active
DOC_PHOTO_REPLACED_RECEIVED_TO_BOARD|Documents: Photo Replacement Received — Board|Member Profile Photo Replacement Submitted|1FqlZUSipvInV9Lpdu5ve3B2CbgPwhoUX|MEMBER_NAME;SUBMISSION_DATE;SUBMISSION_ID|true|Board take-action email for reviewing a member's replacement profile photo
DOC_PHOTO_REPLACED_RECEIVED_TO_MEMBER|Documents: Photo Replacement Received — Member|GEA: Profile Photo Replacement Received|1Qs81Sndv3csHE8YKpc1i2HP211nw1klf|FIRST_NAME;SUBMISSION_DATE;SUBMISSION_ID|true|Member notified that their replacement profile photo has been received and is under review
DOC_PHOTO_REPLACED_REJECTED_TO_BOARD|Documents: Photo Replacement Rejected — Board|Profile Photo Replacement Rejected: {{MEMBER_NAME}}|1zuVQiGckMmmh78z1scXuS9jheKMvWGIj|BOARD_REJECTION_MESSAGE;REJECTION_DATE;REJECTED_BY;SUBMISSION_ID|true|Board confirmation that a member's replacement profile photo has been rejected and member has been notified
DOC_PHOTO_REPLACED_REJECTED_TO_MEMBER_WITH_MESSAGE|Documents: Photo Replacement Rejected — Member|GEA: Profile Photo Resubmission Required|1D1jBKmI2FgYp-ZSgriOupRFNi7hoG4zn|BOARD_REJECTION_MESSAGE;FIRST_NAME;PORTAL_URL;RESUBMIT_DEADLINE|true|Member notified that their replacement profile photo was rejected with board feedback and resubmission instructions
DOC_PHOTO_RECEIVED_TO_BOARD|Documents: Photo Received — Board|Action Required: Member Profile Photo Review|1KeymSUxqSgAf3jhx60j99qb1K9jrYV_U|MEMBER_NAME;SUBMISSION_DATE;SUBMISSION_ID|false|DEPRECATED for application workflow (documents submitted individually) - Use batch confirmation emails instead
DOC_PHOTO_SUBMISSION_REMINDER_TO_MEMBER|Documents: Photo Submission Reminder|Reminder: Please Submit Your GEA Member Photo|19gjX4bFYvUvuqy78IJglLuF351n0VMhS|FIRST_NAME;PHOTO_REQUIREMENTS;PORTAL_URL;SUBMISSION_DEADLINE|true|Sent to members who have been activated but have not yet uploaded a profile photo
DOC_MEMBER_DOCUMENT_REJECTED_BY_BOARD|Documents: Member Document Rejected — Board Response|GEA: Your Document Requires Resubmission|11ysYm_9y-CdNuB25lIzLJP9Af0j3sr3s|BOARD_REJECTION_MESSAGE;DOCUMENT_TYPE;FIRST_NAME;PORTAL_URL;RESUBMISSION_INSTRUCTIONS;RSO_REJECTION_REASON;SUPPORT_EMAIL|true|Member notified that RSO rejected their document and board has provided diplomatic feedback
DOC_BOARD_DOCUMENT_REJECTION_CONFIRMATION|Documents: Board Rejection Confirmation|Document Rejection Notification Sent: {{MEMBER_NAME}}|1DBtGDsSi8LAIi-kPTk8pZ4iRVS5iktQY|BOARD_MESSAGE;DOCUMENT_TYPE;MEMBER_NAME;NOTIFICATION_DATE;RSO_REASON;SUBMISSION_ID|true|Board confirmation that document rejection has been communicated to member; audit trail
MEM_ACCOUNT_CREDENTIALS_TO_APPLICANT|Applicants: Account Credentials|Your GEA Member Portal Login Details|15emY7rdpeYiv3WvY4M4LTiWAQTWeF3MU|EMAIL;FIRST_NAME;LOGIN_URL;TEMP_PASSWORD|false|DEPRECATED - Replaced by MEM_APPLICATION_RECEIVED_WITH_CREDENTIALS_TO_APPLICANT (combined template)
MEM_APPLICATION_APPROVED_TO_APPLICANT|Applicants: Application Approved|GEA Application Approved — Payment Required to Activate|1oS9aw5X093hsNPbQjRt7CbhwHul4YUSh|APPLICATION_ID;FIRST_NAME;PAYMENT_AMOUNT;PAYMENT_DEADLINE;PORTAL_URL|true|Application cleared board review; payment required to complete membership activation
MEM_APPLICATION_DENIED_TO_APPLICANT|Applicants: Application Denied|Your GEA Application — Update from the Board|1geah8EUkur1JhENJzZP6Ui8me3CyIraL|APPLICATION_ID;CONTACT_EMAIL;DENIAL_REASON;FIRST_NAME|true|Respectful denial notification with contact info for follow-up questions
MEM_APPLICATION_RECEIVED_TO_APPLICANT|Applicants: Application Received|GEA Application Received — Next Steps Inside|1bnio4s-HAa714BQj6uFfkhrOa0rxUxJM|APPLICATION_ID;FIRST_NAME;PORTAL_URL;SUBMITTED_DATE|false|DEPRECATED - Replaced by MEM_APPLICATION_RECEIVED_WITH_CREDENTIALS_TO_APPLICANT (combined template)
MEM_APPLICATION_RECEIVED_WITH_CREDENTIALS_TO_APPLICANT|Applicants: Application Received with Credentials|Welcome to GEA — Your Application & Portal Access|1ohocwgqrHzrTQ8ySFMEhLer9uPW8Yw8b|APPLICATION_ID;FIRST_NAME;EMAIL;TEMP_PASSWORD;PORTAL_URL;SUBMITTED_DATE|true|Combines application receipt confirmation with portal login credentials in single email (Google Drive file ID pending upload)
MEM_APPLICATION_REJECTED_BY_BOARD_TO_APPLICANT|Applicants: Application Rejected (Board Response)|GEA: Your Application Status|1s81pEd7FmhLbyd3NYB8hlMEEqn4fWbGq|APPLICATION_ID;BOARD_MESSAGE;FIRST_NAME;RSO_REASON;SUPPORT_EMAIL|true|Applicant notified that their application was rejected with RSO and board feedback
MEM_APPLICATION_REJECTION_CONFIRMATION_TO_BOARD|Admin: Application Rejection Confirmation|Application Rejection Notification Sent: {{APPLICANT_NAME}}|13SISuPS012xaDSD8V3tyKo2Rqexc2WCI|ALLOW_REAPPLICATION;APPLICANT_NAME;APPLICATION_ID;BOARD_MESSAGE;NOTIFICATION_DATE;RSO_REASON|true|Board confirmation that application rejection has been communicated to applicant; audit trail
MEM_BIRTHDAY_AGE_14_MILESTONE_TO_MEMBER|Members: Birthday Age 14 Milestone|{{CHILD_FIRST_NAME}} Has Turned 14 — New Independence at GEA|1u5LixbOPfts3ivgye3uBdYQNre6aL2YE|CHILD_FIRST_NAME;FIRST_NAME|true|Milestone birthday to parents; announces age 14 rec center independence
MEM_BIRTHDAY_AGE_15_MILESTONE_TO_MEMBER|Members: Birthday Age 15 Milestone|{{CHILD_FIRST_NAME}} Has Turned 15 — New Fitness Center Privilege|1qbn02bnCkbceTy2AX3PEaIPyPgU-r5XL|CHILD_FIRST_NAME;FIRST_NAME|true|Milestone birthday to parents; announces age 15 fitness center equipment usage privilege
MEM_BIRTHDAY_AGE_16_MILESTONE_TO_MEMBER|Members: Birthday Age 16 Milestone|{{CHILD_FIRST_NAME}} Has Turned 16|1lvR7tD_rld_Q0bUv6VrqQvzBmha9h93K|CHILD_FIRST_NAME;FIRST_NAME|true|Milestone birthday to parents; notes voting/board eligibility is Full members only; age 17 portal account eligibility ahead
MEM_BIRTHDAY_AGE_17_MILESTONE_TO_MEMBER|Members: Birthday Age 17 Milestone|{{CHILD_FIRST_NAME}} Has Turned 17 — Full Adult Membership Eligibility|1DHZ3EqJT3_iH-rM8rOQI_GpLrLuQwqUl|CHILD_FIRST_NAME;FIRST_NAME|true|Milestone birthday to parents; offers to create member portal account; explains voting/board eligibility (Full members only)
MEM_BIRTHDAY_GREETING_TO_MEMBER|Members: Birthday Greeting|Happy Birthday from GEA — {{FIRST_NAME}}!|1ErESVQG9OAvyK_HcO59utJ8XMdUDMu9-|FIRST_NAME|true|Annual birthday greeting for all adult members
MEM_FIRST_LOGIN_WELCOME_TO_MEMBER|Members: First Login Welcome|Welcome to the GEA Member Portal — {{FIRST_NAME}}|1-vAJYPJx6vSWOU6NmtJVc5_dHbPs7RaS|FIRST_NAME;HOUSEHOLD_NAME;PASSWORD_RESET_LINK;PORTAL_URL|true|Triggered on first successful login; provides portal orientation and key links
MEM_HOUSEHOLD_MEMBER_REMOVED_TO_MEMBER|Members: Household Member Removed|Household Member Removed from Your Profile|15fko9vry6UqeSdW_DdQXQh_99OeHNBlc|PRIMARY_MEMBER_NAME;REMOVED_MEMBER_NAME;REMOVED_MEMBER_RELATIONSHIP;REMOVAL_DATE;PORTAL_URL|true|Member notified when a household member has been removed from their family profile
MEM_MEMBERSHIP_ACTIVATED_TO_MEMBER|Members: Membership Activated|Welcome to GEA — Your Membership Is Now Active!|11cQ_KoK_GGm76-UEpdj_HxVCaBYB9lir|APPLICANT_NAME|true|Final welcome email when membership is fully activated after payment verification
MEM_MEMBERSHIP_EXPIRED_TO_MEMBER|Members: Membership Expired|Your GEA Membership Has Expired — Renew to Restore Access|1vQ_HSp9rRmFY8JUu1UgSYvFy8fP_zuI9|EXPIRED_DATE;FIRST_NAME;PORTAL_URL;REACTIVATION_AMOUNT|true|Sent when membership lapses on July 31; prompts renewal payment
MEM_PASSPORT_EXPIRATION_WARNING_1M_TO_MEMBER|Members: Passport Expiration - 1 Month|Your {{DOCUMENT_TYPE}} Expires {{EXPIRATION_DATE}} — 1 Month Reminder|1eg3mqxn-Fo5VdLVRwG5eqHXj5B1SgEAg|DOCUMENT_TYPE;EXPIRATION_DATE;FIRST_NAME;PORTAL_URL|true|1-month urgent warning for document expiration; emphasizes impact on membership status
MEM_PASSPORT_EXPIRATION_WARNING_6M_TO_MEMBER|Members: Passport Expiration - 6 Months|Your {{DOCUMENT_TYPE}} Expires {{EXPIRATION_DATE}} — 6 Month Reminder|1zX4dX52WtvyE88Qn2k3P4Um2D28NkXUa|DOCUMENT_TYPE;EXPIRATION_DATE;FIRST_NAME;PORTAL_URL|true|6-month advance warning for document expiration; member should renew and upload new document
MEM_PASSPORT_EXPIRATION_WARNING_TO_MEMBER|Members: Passport Expiration Warning|Your Passport Expires {{EXPIRATION_DATE}} — Please Update GEA Records|1d4YLRQ5sQMMGUe5s1V7QsR8YEfpPbD5B|EXPIRATION_DATE;FIRST_NAME;RENEWAL_URL|true|6-month advance warning; member should upload renewed document once received
MEM_PASSWORD_RESET_COMPLETE_TO_MEMBER|Members: Password Reset Complete|Your GEA Member Portal Password Has Been Reset|1USTeKZp2IGM0M78w3PQ6Pc4UCQVHyVli|FIRST_NAME|true|Confirmation that member has successfully reset their password
MEM_PASSWORD_RESET_REQUEST_TO_MEMBER|Members: Password Reset Request|Reset Your GEA Member Portal Password|1Wxs0PD6q7c-4PRHY9pk6pzepF2YmnoQ8|FIRST_NAME;RESET_LINK;RESET_WINDOW_MINUTES|true|Self-serve password reset request for member accounts
